feature,mean_abs_shap
MaxHR,0.15931694706297603
ST_Slope,0.11939482137554533
Oldpeak,0.06374549234967639
ChestPainType,0.0534935332808733
ExerciseAngina,0.041810620002826815
Sex,0.04067478087365469
FastingBS,0.03320678510834367
RestingECG,0.018483090178795417
Cholesterol,0.013384403318853462
Age,0.013043841314593305
RestingBP,0.009276410754110195
